,Airline,Date_of_Journey,Source,Destination,Route,Total_Stops,Additional_Info,Price,journey_year,journey_month,journey_day,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,duration_hr
0,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No info,3897,2019,3,24,22,20,1,10,2
1,Air India,2019-01-05,Kolkata,Banglore,CCU → IXR → BBI → BLR,2 stops,No info,7662,2019,1,5,5,50,13,15,7
2,Jet Airways,2019-09-06,Delhi,Cochin,DEL → LKO → BOM → COK,2 stops,No info,13882,2019,9,6,9,25,4,25,19
3,IndiGo,2019-12-05,Kolkata,Banglore,CCU → NAG → BLR,1 stop,No info,6218,2019,12,5,18,5,23,30,5
4,IndiGo,2019-01-03,Banglore,New Delhi,BLR → NAG → DEL,1 stop,No info,13302,2019,1,3,16,50,21,35,4
5,SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,non-stop,No info,3873,2019,6,24,9,0,11,25,2
6,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,11087,2019,12,3,18,55,10,25,15
7,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,22270,2019,1,3,8,0,5,5,21
8,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,11087,2019,12,3,8,55,10,25,25
9,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8625,2019,5,27,11,25,19,15,7
10,Air India,2019-01-06,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,8907,2019,1,6,9,45,23,0,13
11,IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,non-stop,No info,4174,2019,4,18,20,20,22,55,2
12,Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,non-stop,No info,4667,2019,6,24,11,40,13,55,2
13,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,9,5,21,10,9,20,12
14,IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,non-stop,No info,4804,2019,4,24,17,15,19,50,2
15,Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,14011,2019,3,3,16,40,19,15,26
16,SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,1 stop,No info,5830,2019,4,15,8,45,13,15,4
17,Jet Airways,2019-12-06,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,12,6,14,0,12,35,22
18,Air India,2019-12-06,Delhi,Cochin,DEL → CCU → BOM → COK,2 stops,No info,13381,2019,12,6,20,15,19,15,23
19,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12898,2019,5,27,16,0,12,35,20
20,GoAir,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,19495,2019,6,3,14,10,19,20,5
21,Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,1 stop,No info,6955,2019,3,21,22,0,13,20,15
22,IndiGo,2019-03-04,Banglore,Delhi,BLR → DEL,non-stop,No info,3943,2019,3,4,4,0,6,50,2
23,IndiGo,2019-01-05,Banglore,Delhi,BLR → DEL,non-stop,No info,4823,2019,1,5,18,55,21,50,2
24,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,7757,2019,6,5,18,55,8,15,13
25,Jet Airways,2019-09-06,Delhi,Cochin,DEL → IDR → BOM → COK,2 stops,No info,13292,2019,9,6,21,25,12,35,15
26,IndiGo,2019-01-06,Delhi,Cochin,DEL → LKO → COK,1 stop,No info,8238,2019,1,6,21,50,3,35,5
27,GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7682,2019,5,15,7,0,12,55,5
28,Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,non-stop,No info,4668,2019,6,18,9,45,12,35,2
29,Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,non-stop,No info,3687,2019,6,15,7,5,9,20,2
30,Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,non-stop,No info,3687,2019,6,18,7,5,9,20,2
31,Air India,2019-01-05,Kolkata,Banglore,CCU → GAU → DEL → BLR,2 stops,No info,13227,2019,1,5,9,50,23,15,13
32,IndiGo,2019-06-04,Banglore,Delhi,BLR → DEL,non-stop,No info,4423,2019,6,4,4,0,6,50,2
33,Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,2 stops,In-flight meal not included,10919,2019,6,15,14,35,12,35,22
34,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12373,2019,5,18,7,5,12,35,5
35,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,5894,2019,6,27,10,35,21,0,10
36,SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,1 stop,No info,4649,2019,5,21,15,5,20,20,5
37,Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,non-stop,No info,6245,2019,5,18,14,15,16,45,2
38,Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,19225,2019,6,3,7,0,13,15,6
39,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14924,2019,3,6,7,5,19,0,11
40,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,9646,2019,5,21,7,5,18,10,11
41,Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,8714,2019,3,15,6,45,15,15,8
42,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12373,2019,5,18,20,55,19,0,22
43,Air Asia,2019-06-05,Banglore,Delhi,BLR → DEL,non-stop,No info,3383,2019,6,5,11,10,13,55,2
44,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13062,2019,3,21,9,0,21,0,12
45,SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No check-in baggage included,3527,2019,3,24,5,45,8,35,2
46,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,non-stop,No info,3943,2019,5,27,4,0,6,50,2
47,Air India,2019-03-05,Chennai,Kolkata,MAA → CCU,non-stop,No info,4667,2019,3,5,11,40,13,55,2
48,Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,1 stop,No info,6117,2019,5,15,19,0,11,5,16
49,Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,In-flight meal not included,11150,2019,6,27,23,5,19,0,19
50,Jet Airways,2019-09-03,Delhi,Cochin,DEL → COK,non-stop,In-flight meal not included,7202,2019,9,3,11,0,14,15,3
51,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,12121,2019,1,5,9,35,10,55,25
52,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No info,4377,2019,3,24,22,20,1,10,2
53,IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,non-stop,No info,3943,2019,6,18,21,15,0,15,3
54,Air Asia,2019-03-04,Banglore,Delhi,BLR → DEL,non-stop,No info,4483,2019,3,4,23,55,2,45,2
55,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14231,2019,3,24,19,45,12,0,16
56,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,2 stops,No info,17345,2019,1,3,8,50,23,55,15
57,Vistara,2019-06-03,Chennai,Kolkata,MAA → CCU,non-stop,No info,7414,2019,6,3,7,5,9,20,2
58,Multiple carriers,2019-06-05,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8073,2019,6,5,19,0,1,30,6
59,Vistara,2019-06-03,Mumbai,Hyderabad,BOM → DEL → HYD,1 stop,No info,12395,2019,6,3,15,40,16,45,25
60,Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,8366,2019,6,6,9,25,21,50,12
61,Air India,2019-03-04,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,5117,2019,3,4,6,5,9,25,27
62,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,12524,2019,3,6,8,45,19,0,10
63,IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7191,2019,5,15,15,0,1,30,10
64,Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,non-stop,No info,3687,2019,5,24,7,5,9,20,2
65,IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,5894,2019,6,24,10,35,21,0,10
66,Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,non-stop,No info,5403,2019,4,24,9,45,12,35,2
67,Air India,2019-06-05,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,3625,2019,6,5,13,55,15,25,1
68,Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,2 stops,No info,10861,2019,5,21,5,55,19,15,13
69,IndiGo,2019-12-03,Chennai,Kolkata,MAA → CCU,non-stop,No info,6297,2019,12,3,13,20,15,35,2
70,Jet Airways,2019-01-06,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,5678,2019,1,6,7,5,8,30,1
71,Jet Airways,2019-09-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,9134,2019,9,3,5,45,8,15,26
72,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10791,2019,6,24,11,40,19,0,7
73,Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,12819,2019,6,24,23,5,12,35,13
74,IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,6893,2019,3,21,5,5,10,5,5
75,Vistara,2019-09-03,Banglore,New Delhi,BLR → DEL,non-stop,No info,7240,2019,9,3,9,50,12,35,2
76,GoAir,2019-03-04,Banglore,Delhi,BLR → DEL,non-stop,No info,3898,2019,3,4,11,40,14,30,2
77,IndiGo,2019-03-04,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,4049,2019,3,4,6,25,7,55,1
78,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,15,17,30,12,35,19
79,SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,non-stop,No check-in baggage included,3332,2019,3,21,8,20,10,35,2
80,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,9,6,21,10,12,0,14
81,Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No info,7229,2019,3,24,19,55,22,35,2
82,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,13941,2019,6,5,6,30,4,40,22
83,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,5894,2019,6,27,11,25,21,0,9
84,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,10197,2019,5,18,9,0,19,0,10
85,Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,13712,2019,6,3,14,5,11,25,21
86,IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,5636,2019,6,24,2,0,7,25,5
87,Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,No info,13014,2019,6,6,9,40,4,25,18
88,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,7064,2019,1,4,8,25,20,45,12
89,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,10703,2019,5,24,20,25,14,25,18
90,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,9646,2019,5,27,13,15,22,30,9
91,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,17057,2019,6,3,2,15,13,20,11
92,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,13817,2019,12,3,16,55,10,25,17
93,Air India,2019-06-03,Delhi,Cochin,DEL → BHO → BOM → COK,2 stops,No info,13748,2019,6,3,5,55,19,15,13
94,Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,non-stop,No info,4880,2019,4,21,20,45,23,20,2
95,IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,non-stop,No info,3540,2019,6,21,5,15,7,40,2
96,SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,non-stop,No check-in baggage included,3257,2019,5,15,5,55,8,35,2
97,Jet Airways,2019-03-06,Banglore,Delhi,BLR → DEL,non-stop,In-flight meal not included,6478,2019,3,6,19,50,22,50,3
98,Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,8040,2019,6,18,7,5,8,30,1
99,Jet Airways,2019-12-06,Delhi,Cochin,DEL → ATQ → BOM → COK,2 stops,No info,14300,2019,12,6,20,0,12,35,16
100,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14781,2019,5,15,8,25,20,45,12
101,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14939,2019,9,6,20,0,8,15,12
102,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,24,20,55,4,25,7
103,Air India,2019-12-05,Kolkata,Banglore,CCU → MAA → BLR,1 stop,No info,6528,2019,12,5,14,35,14,35,24
104,Air India,2019-01-05,Banglore,Delhi,BLR → DEL,non-stop,No info,6121,2019,1,5,6,10,8,55,2
105,Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,In-flight meal not included,13029,2019,5,18,19,30,4,25,8
106,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,11421,2019,3,27,11,40,18,50,7
107,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7574,2019,3,27,4,45,19,15,14
108,Air India,2019-09-05,Delhi,Cochin,DEL → JDH → BOM → COK,2 stops,No info,11596,2019,9,5,12,55,19,15,30
109,Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,15129,2019,5,24,23,5,19,0,19
110,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,13555,2019,3,18,14,5,5,5,15
111,IndiGo,2019-12-04,Banglore,Delhi,BLR → DEL,non-stop,No info,5780,2019,12,4,18,55,21,50,2
112,Vistara,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,9397,2019,12,5,20,20,9,5,12
113,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,17024,2019,6,3,18,15,4,25,10
114,GoAir,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,5281,2019,6,27,7,0,12,55,5
115,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,10348,2019,5,18,7,5,22,30,15
116,Air India,2019-06-03,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,12677,2019,6,3,17,20,9,25,16
117,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15147,2019,3,3,15,25,1,35,10
118,Vistara,2019-12-06,Banglore,Delhi,BLR → DEL,non-stop,No info,4668,2019,12,6,7,0,9,40,2
119,Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15554,2019,9,5,7,5,19,0,11
120,SpiceJet,2019-09-04,Banglore,Delhi,BLR → DEL,non-stop,No info,3971,2019,9,4,5,55,8,35,2
121,Air India,2019-03-05,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,3100,2019,3,5,15,0,16,25,1
122,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,6,5,20,0,10,5,14
123,Air India,2019-01-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,27430,2019,1,3,23,0,19,15,20
124,IndiGo,2019-12-05,Chennai,Kolkata,MAA → CCU,non-stop,No info,3540,2019,12,5,5,15,7,40,2
125,Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,2 stops,No info,10676,2019,5,21,12,0,11,10,23
126,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,13044,2019,12,6,14,5,8,15,18
127,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14388,2019,6,5,20,0,12,0,16
128,IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,non-stop,No info,3943,2019,6,24,4,0,6,50,2
129,IndiGo,2019-03-06,Chennai,Kolkata,MAA → CCU,non-stop,No info,3597,2019,3,6,14,45,17,5,2
130,Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,1 stop,No info,5932,2019,3,21,11,50,19,50,8
131,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,15,11,30,4,25,16
132,Vistara,2019-12-05,Delhi,Cochin,DEL → COK,non-stop,No info,6216,2019,12,5,14,40,17,50,3
133,IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,non-stop,No info,4804,2019,6,15,20,25,23,10,2
134,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14067,2019,5,21,11,30,1,30,14
135,Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,15129,2019,5,18,19,10,19,0,23
136,Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,2 stops,No info,13376,2019,6,6,6,45,4,25,21
137,Air India,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,2 stops,No info,10441,2019,6,27,22,0,19,15,21
138,Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,non-stop,In-flight meal not included,4030,2019,5,24,6,0,8,45,2
139,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,17024,2019,3,3,8,0,18,50,10
140,Multiple carriers,2019-09-04,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13017,2019,9,4,17,30,1,30,8
141,GoAir,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,6686,2019,6,6,23,30,7,45,8
142,IndiGo,2019-06-15,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,5636,2019,6,15,2,0,7,25,5
143,IndiGo,2019-09-06,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6442,2019,9,6,7,35,16,10,8
144,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,9486,2019,5,21,13,5,0,55,11
145,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,5,21,20,0,23,35,27
146,Jet Airways,2019-03-06,Delhi,Cochin,DEL → ATQ → BOM → COK,2 stops,In-flight meal not included,15318,2019,3,6,20,0,4,25,8
147,Air India,2019-03-04,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,5117,2019,3,4,12,30,9,25,20
148,IndiGo,2019-06-24,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,6147,2019,6,24,15,10,20,0,4
149,Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7005,2019,9,6,12,50,21,0,8
150,SpiceJet,2019-03-04,Kolkata,Banglore,CCU → BLR,non-stop,No info,3873,2019,3,4,22,20,0,40,2
151,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,2 stops,In-flight meal not included,9270,2019,3,21,18,25,18,50,24
152,GoAir,2019-06-27,Banglore,Delhi,BLR → DEL,non-stop,No info,3898,2019,6,27,11,40,14,30,2
153,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14781,2019,12,5,8,25,20,45,12
154,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,8586,2019,5,24,20,0,8,15,12
155,Air India,2019-09-05,Kolkata,Banglore,CCU → JAI → BOM → BLR,2 stops,No info,10697,2019,9,5,8,20,7,55,23
156,Jet Airways,2019-06-27,Delhi,Cochin,DEL → ATQ → BOM → COK,2 stops,No info,14300,2019,6,27,20,0,12,35,16
